Year,State,Cases,Disease,Population,Population Density
2001,Utah,61736,Diabetics,2233169.0,27.2
2002,Utah,68243,Diabetics,2233169.0,27.2
2003,Utah,86952,Diabetics,2233169.0,27.2
2004,Utah,82596,Diabetics,2233169.0,27.2
2005,Utah,90473,Diabetics,2233169.0,27.2
2006,Utah,97597,Diabetics,2233169.0,27.2
2007,Utah,102854,Diabetics,2233169.0,27.2
2008,Utah,110459,Diabetics,2233169.0,27.2
2009,Utah,115755,Diabetics,2233169.0,27.2
2010,Utah,127659,Diabetics,2763885.0,33.6
2011,Utah,128616,Diabetics,2763885.0,33.6
2012,Utah,141704,Diabetics,2763885.0,33.6
2013,Utah,143882,Diabetics,2763885.0,33.6
2014,Utah,147025,Diabetics,2763885.0,33.6
2015,Utah,146932,Diabetics,2763885.0,33.6
2016,Utah,154661,Diabetics,2763885.0,33.6
2017,Utah,155438,Diabetics,2763885.0,33.6
2018,Utah,186706,Diabetics,2763885.0,33.6
2019,Utah,183508,Diabetics,2763885.0,33.6
2020,Utah,191658,Diabetics,3271616.0,39.7
2021,Utah,191021,Diabetics,3271616.0,39.7
2022,Utah,214693,Diabetics,3271616.0,39.7
2023,Utah,194254,Diabetics,3271616.0,39.7
2000,Vermont,19734,Diabetics,608827.0,66.1
2001,Vermont,23210,Diabetics,608827.0,66.1
2002,Vermont,27507,Diabetics,608827.0,66.1
2003,Vermont,27478,Diabetics,608827.0,66.1
2004,Vermont,25653,Diabetics,608827.0,66.1
2005,Vermont,28798,Diabetics,608827.0,66.1
2006,Vermont,28954,Diabetics,608827.0,66.1
2007,Vermont,34375,Diabetics,608827.0,66.1
2008,Vermont,31525,Diabetics,608827.0,66.1
2009,Vermont,30356,Diabetics,608827.0,66.1
2010,Vermont,33474,Diabetics,625741.0,67.9
2011,Vermont,38059,Diabetics,625741.0,67.9
2012,Vermont,36031,Diabetics,625741.0,67.9
2013,Vermont,39122,Diabetics,625741.0,67.9
2014,Vermont,39780,Diabetics,625741.0,67.9
2015,Vermont,41707,Diabetics,625741.0,67.9
2016,Vermont,42616,Diabetics,625741.0,67.9
2017,Vermont,41538,Diabetics,625741.0,67.9
2018,Vermont,46377,Diabetics,625741.0,67.9
2019,Vermont,44280,Diabetics,625741.0,67.9
2020,Vermont,40068,Diabetics,643077.0,69.8
2021,Vermont,44803,Diabetics,643077.0,69.8
2022,Vermont,44599,Diabetics,643077.0,69.8
2023,Vermont,49930,Diabetics,643077.0,69.8
2000,Virgin Islands of the U.S.,254045,Diabetics,,
2001,Virgin Islands of the U.S.,5218,Diabetics,,
2002,Virgin Islands of the U.S.,6619,Diabetics,,
2003,Virgin Islands of the U.S.,7103,Diabetics,,
2004,Virgin Islands of the U.S.,6357,Diabetics,,
2005,Virgin Islands of the U.S.,6203,Diabetics,,
2006,Virgin Islands of the U.S.,6577,Diabetics,,
2007,Virgin Islands of the U.S.,6453,Diabetics,,
2008,Virgin Islands of the U.S.,7252,Diabetics,,
2009,Virgin Islands of the U.S.,5798,Diabetics,,
2010,Virgin Islands of the U.S.,6540,Diabetics,,
2011,Virgin Islands of the U.S.,430737,Diabetics,,
2012,Virgin Islands of the U.S.,463489,Diabetics,,
2013,Virgin Islands of the U.S.,476130,Diabetics,,
2014,Virgin Islands of the U.S.,493607,Diabetics,,
2015,Virgin Islands of the U.S.,496948,Diabetics,,
2016,Virgin Islands of the U.S.,10070,Diabetics,,
2017,Virgin Islands of the U.S.,524164,Diabetics,,
2018,Virgin Islands of the U.S.,554479,Diabetics,,
2019,Virgin Islands of the U.S.,537789,Diabetics,,
2020,Virgin Islands of the U.S.,546394,Diabetics,,
2021,Virgin Islands of the U.S.,11700,Diabetics,,
2022,Virgin Islands of the U.S.,11117,Diabetics,,
2023,Virgin Islands of the U.S.,11627,Diabetics,,
2000,Virginia,322442,Diabetics,7078515.0,179.2
2001,Virginia,322086,Diabetics,7078515.0,179.2
2002,Virginia,340162,Diabetics,7078515.0,179.2
2003,Virginia,398688,Diabetics,7078515.0,179.2
2004,Virginia,396024,Diabetics,7078515.0,179.2
2005,Virginia,393952,Diabetics,7078515.0,179.2
2006,Virginia,424023,Diabetics,7078515.0,179.2
2007,Virginia,464942,Diabetics,7078515.0,179.2
2008,Virginia,465389,Diabetics,7078515.0,179.2
2009,Virginia,481315,Diabetics,7078515.0,179.2
2010,Virginia,517022,Diabetics,8001024.0,202.6
2011,Virginia,635060,Diabetics,8001024.0,202.6
2012,Virginia,659995,Diabetics,8001024.0,202.6
2013,Virginia,631194,Diabetics,8001024.0,202.6
2014,Virginia,630137,Diabetics,8001024.0,202.6
2015,Virginia,676484,Diabetics,8001024.0,202.6
2016,Virginia,687972,Diabetics,8001024.0,202.6
2017,Virginia,694037,Diabetics,8001024.0,202.6
2018,Virginia,701793,Diabetics,8001024.0,202.6
2019,Virginia,733302,Diabetics,8001024.0,202.6
2020,Virginia,743024,Diabetics,8631393.0,218.6
2021,Virginia,780387,Diabetics,8631393.0,218.6
2022,Virginia,870524,Diabetics,8631393.0,218.6
2023,Virginia,816688,Diabetics,8631393.0,218.6
2000,Washington,237966,Diabetics,5894121.0,88.7
2001,Washington,252470,Diabetics,5894121.0,88.7
2002,Washington,259778,Diabetics,5894121.0,88.7
2003,Washington,303010,Diabetics,5894121.0,88.7
2004,Washington,294419,Diabetics,5894121.0,88.7
2005,Washington,298127,Diabetics,5894121.0,88.7
2006,Washington,339733,Diabetics,5894121.0,88.7
2007,Washington,343913,Diabetics,5894121.0,88.7
2008,Washington,343235,Diabetics,5894121.0,88.7
2009,Washington,386515,Diabetics,5894121.0,88.7
2010,Washington,386922,Diabetics,6724540.0,101.2
2011,Washington,456187,Diabetics,6724540.0,101.2
2012,Washington,462505,Diabetics,6724540.0,101.2
2013,Washington,462703,Diabetics,6724540.0,101.2
2014,Washington,485603,Diabetics,6724540.0,101.2
2015,Washington,466005,Diabetics,6724540.0,101.2
2016,Washington,530059,Diabetics,6724540.0,101.2
2017,Washington,527405,Diabetics,6724540.0,101.2
2018,Washington,582006,Diabetics,6724540.0,101.2
2019,Washington,563519,Diabetics,6724540.0,101.2
2020,Washington,521906,Diabetics,7705281.0,115.9
2021,Washington,536580,Diabetics,7705281.0,115.9
2022,Washington,595825,Diabetics,7705281.0,115.9
2023,Washington,595599,Diabetics,7705281.0,115.9
2000,West Virginia,104846,Diabetics,1808344.0,75.2
2001,West Virginia,121898,Diabetics,1808344.0,75.2
2002,West Virginia,142397,Diabetics,1808344.0,75.2
2003,West Virginia,137795,Diabetics,1808344.0,75.2
2004,West Virginia,155193,Diabetics,1808344.0,75.2
2005,West Virginia,149102,Diabetics,1808344.0,75.2
2006,West Virginia,172723,Diabetics,1808344.0,75.2
2007,West Virginia,156188,Diabetics,1808344.0,75.2
2008,West Virginia,170948,Diabetics,1808344.0,75.2
2009,West Virginia,176174,Diabetics,1808344.0,75.2
2010,West Virginia,166543,Diabetics,1852994.0,77.1
2011,West Virginia,175091,Diabetics,1852994.0,77.1
2012,West Virginia,190575,Diabetics,1852994.0,77.1
2013,West Virginia,192017,Diabetics,1852994.0,77.1
2014,West Virginia,207695,Diabetics,1852994.0,77.1
2015,West Virginia,212274,Diabetics,1852994.0,77.1
2016,West Virginia,218960,Diabetics,1852994.0,77.1
2017,West Virginia,220426,Diabetics,1852994.0,77.1
2018,West Virginia,232336,Diabetics,1852994.0,77.1
2019,West Virginia,223774,Diabetics,1852994.0,77.1
2020,West Virginia,223338,Diabetics,1793716.0,74.6
2021,West Virginia,226294,Diabetics,1793716.0,74.6
2022,West Virginia,247721,Diabetics,1793716.0,74.6
2023,West Virginia,258511,Diabetics,1793716.0,74.6
2000,Wisconsin,238020,Diabetics,5363675.0,99.0
2001,Wisconsin,223129,Diabetics,5363675.0,99.0
2002,Wisconsin,203389,Diabetics,5363675.0,99.0
2003,Wisconsin,245823,Diabetics,5363675.0,99.0
2004,Wisconsin,231811,Diabetics,5363675.0,99.0
2005,Wisconsin,273327,Diabetics,5363675.0,99.0
2006,Wisconsin,263427,Diabetics,5363675.0,99.0
2007,Wisconsin,272072,Diabetics,5363675.0,99.0
2008,Wisconsin,307877,Diabetics,5363675.0,99.0
2009,Wisconsin,355064,Diabetics,5363675.0,99.0
2010,Wisconsin,308118,Diabetics,5686986.0,105.0
2011,Wisconsin,364286,Diabetics,5686986.0,105.0
2012,Wisconsin,364778,Diabetics,5686986.0,105.0
2013,Wisconsin,364684,Diabetics,5686986.0,105.0
2014,Wisconsin,399523,Diabetics,5686986.0,105.0
2015,Wisconsin,374857,Diabetics,5686986.0,105.0
2016,Wisconsin,439230,Diabetics,5686986.0,105.0
2017,Wisconsin,410932,Diabetics,5686986.0,105.0
2018,Wisconsin,392965,Diabetics,5686986.0,105.0
2019,Wisconsin,395409,Diabetics,5686986.0,105.0
2020,Wisconsin,406445,Diabetics,5893718.0,108.8
2021,Wisconsin,423469,Diabetics,5893718.0,108.8
2022,Wisconsin,477705,Diabetics,5893718.0,108.8
2023,Wisconsin,526051,Diabetics,5893718.0,108.8
2000,Wyoming,16760,Diabetics,493782.0,5.1
2001,Wyoming,15792,Diabetics,493782.0,5.1
2002,Wyoming,20540,Diabetics,493782.0,5.1
2003,Wyoming,21847,Diabetics,493782.0,5.1
2004,Wyoming,22561,Diabetics,493782.0,5.1
2005,Wyoming,25022,Diabetics,493782.0,5.1
2006,Wyoming,25287,Diabetics,493782.0,5.1
2007,Wyoming,27653,Diabetics,493782.0,5.1
2008,Wyoming,29214,Diabetics,493782.0,5.1
2009,Wyoming,28161,Diabetics,493782.0,5.1
2010,Wyoming,29373,Diabetics,563626.0,5.8
2011,Wyoming,34885,Diabetics,563626.0,5.8
2012,Wyoming,38939,Diabetics,563626.0,5.8
2013,Wyoming,38544,Diabetics,563626.0,5.8
2014,Wyoming,37916,Diabetics,563626.0,5.8
2015,Wyoming,37811,Diabetics,563626.0,5.8
2016,Wyoming,37562,Diabetics,563626.0,5.8
2017,Wyoming,40515,Diabetics,563626.0,5.8
2018,Wyoming,38658,Diabetics,563626.0,5.8
2019,Wyoming,34577,Diabetics,563626.0,5.8
2020,Wyoming,37935,Diabetics,576851.0,5.9
2021,Wyoming,39301,Diabetics,576851.0,5.9
2022,Wyoming,41990,Diabetics,576851.0,5.9
2023,Wyoming,48572,Diabetics,576851.0,5.9
2000,Alabama,15323,Chlamydia,4447100.0,87.8
2001,Alabama,14524,Chlamydia,4447100.0,87.8
2002,Alabama,15611,Chlamydia,4447100.0,87.8
2003,Alabama,14209,Chlamydia,4447100.0,87.8
2004,Alabama,13314,Chlamydia,4447100.0,87.8
2005,Alabama,17109,Chlamydia,4447100.0,87.8
2006,Alabama,22915,Chlamydia,4447100.0,87.8
2007,Alabama,25153,Chlamydia,4447100.0,87.8
2008,Alabama,24760,Chlamydia,4447100.0,87.8
2009,Alabama,25929,Chlamydia,4447100.0,87.8
2010,Alabama,27041,Chlamydia,4779736.0,94.4
2011,Alabama,29626,Chlamydia,4779736.0,94.4
2012,Alabama,30621,Chlamydia,4779736.0,94.4
2013,Alabama,29464,Chlamydia,4779736.0,94.4
2014,Alabama,29010,Chlamydia,4779736.0,94.4
2015,Alabama,26359,Chlamydia,4779736.0,94.4
2016,Alabama,26901,Chlamydia,4779736.0,94.4
2017,Alabama,29935,Chlamydia,4779736.0,94.4
2018,Alabama,28437,Chlamydia,4779736.0,94.4
2019,Alabama,31228,Chlamydia,4779736.0,94.4
2020,Alabama,27075,Chlamydia,5024279.0,99.2
2021,Alabama,31507,Chlamydia,5024279.0,99.2
2022,Alabama,31060,Chlamydia,5024279.0,99.2
2023,Alabama,33261,Chlamydia,5024279.0,99.2
2000,Alaska,2569,Chlamydia,626932.0,1.1
2001,Alaska,2744,Chlamydia,626932.0,1.1
2002,Alaska,3806,Chlamydia,626932.0,1.1
2003,Alaska,3900,Chlamydia,626932.0,1.1
2004,Alaska,3954,Chlamydia,626932.0,1.1
2005,Alaska,4355,Chlamydia,626932.0,1.1
2006,Alaska,4525,Chlamydia,626932.0,1.1
2007,Alaska,4911,Chlamydia,626932.0,1.1
2008,Alaska,4861,Chlamydia,626932.0,1.1
2009,Alaska,5166,Chlamydia,626932.0,1.1
2010,Alaska,6019,Chlamydia,710231.0,1.2
2011,Alaska,5739,Chlamydia,710231.0,1.2
2012,Alaska,5462,Chlamydia,710231.0,1.2
2013,Alaska,5774,Chlamydia,710231.0,1.2
2014,Alaska,5789,Chlamydia,710231.0,1.2
2015,Alaska,5660,Chlamydia,710231.0,1.2
2016,Alaska,5698,Chlamydia,710231.0,1.2
2017,Alaska,5934,Chlamydia,710231.0,1.2
2018,Alaska,6159,Chlamydia,710231.0,1.2
2019,Alaska,6254,Chlamydia,710231.0,1.2
2020,Alaska,5090,Chlamydia,733391.0,1.3
2021,Alaska,5571,Chlamydia,733391.0,1.3
2022,Alaska,5338,Chlamydia,733391.0,1.3
2023,Alaska,5117,Chlamydia,733391.0,1.3
2000,Arizona,12612,Chlamydia,5130632.0,45.2
2001,Arizona,14354,Chlamydia,5130632.0,45.2
2002,Arizona,14921,Chlamydia,5130632.0,45.2
2003,Arizona,12819,Chlamydia,5130632.0,45.2
2004,Arizona,16786,Chlamydia,5130632.0,45.2
2005,Arizona,21264,Chlamydia,5130632.0,45.2
2006,Arizona,24090,Chlamydia,5130632.0,45.2
2007,Arizona,24866,Chlamydia,5130632.0,45.2
2008,Arizona,24769,Chlamydia,5130632.0,45.2
2009,Arizona,26002,Chlamydia,5130632.0,45.2
2010,Arizona,26861,Chlamydia,6392017.0,56.3
2011,Arizona,29251,Chlamydia,6392017.0,56.3
2012,Arizona,30444,Chlamydia,6392017.0,56.3
2013,Arizona,30564,Chlamydia,6392017.0,56.3
2014,Arizona,32397,Chlamydia,6392017.0,56.3
2015,Arizona,32387,Chlamydia,6392017.0,56.3
2016,Arizona,34923,Chlamydia,6392017.0,56.3
2017,Arizona,39598,Chlamydia,6392017.0,56.3
2018,Arizona,40807,Chlamydia,6392017.0,56.3
2019,Arizona,43058,Chlamydia,6392017.0,56.3
2020,Arizona,37289,Chlamydia,7151502.0,62.9
2021,Arizona,41498,Chlamydia,7151502.0,62.9
2022,Arizona,40796,Chlamydia,7151502.0,62.9
2023,Arizona,41058,Chlamydia,7151502.0,62.9
2000,Arkansas,6219,Chlamydia,2673400.0,51.4
2001,Arkansas,7280,Chlamydia,2673400.0,51.4
2002,Arkansas,7312,Chlamydia,2673400.0,51.4
2003,Arkansas,7856,Chlamydia,2673400.0,51.4
2004,Arkansas,7864,Chlamydia,2673400.0,51.4
2005,Arkansas,8507,Chlamydia,2673400.0,51.4
2006,Arkansas,8259,Chlamydia,2673400.0,51.4
2007,Arkansas,9954,Chlamydia,2673400.0,51.4
2008,Arkansas,14136,Chlamydia,2673400.0,51.4
2009,Arkansas,14354,Chlamydia,2673400.0,51.4
2010,Arkansas,15424,Chlamydia,2915918.0,56.0
2011,Arkansas,16052,Chlamydia,2915918.0,56.0
2012,Arkansas,16611,Chlamydia,2915918.0,56.0
2013,Arkansas,15447,Chlamydia,2915918.0,56.0
2014,Arkansas,15605,Chlamydia,2915918.0,56.0
2015,Arkansas,16166,Chlamydia,2915918.0,56.0
2016,Arkansas,16737,Chlamydia,2915918.0,56.0
2017,Arkansas,17320,Chlamydia,2915918.0,56.0
2018,Arkansas,17663,Chlamydia,2915918.0,56.0
2019,Arkansas,17196,Chlamydia,2915918.0,56.0
2020,Arkansas,16053,Chlamydia,3011524.0,57.9
2021,Arkansas,17936,Chlamydia,3011524.0,57.9
2022,Arkansas,17918,Chlamydia,3011524.0,57.9
2023,Arkansas,17781,Chlamydia,3011524.0,57.9
2000,California,95316,Chlamydia,33871648.0,217.4
2001,California,101915,Chlamydia,33871648.0,217.4
2002,California,110288,Chlamydia,33871648.0,217.4
2003,California,117428,Chlamydia,33871648.0,217.4
2004,California,122197,Chlamydia,33871648.0,217.4
2005,California,130716,Chlamydia,33871648.0,217.4
2006,California,135827,Chlamydia,33871648.0,217.4
2007,California,141928,Chlamydia,33871648.0,217.4
2008,California,148798,Chlamydia,33871648.0,217.4
2009,California,146796,Chlamydia,33871648.0,217.4
2010,California,150443,Chlamydia,37253956.0,239.1
2011,California,166773,Chlamydia,37253956.0,239.1
2012,California,167695,Chlamydia,37253956.0,239.1
2013,California,167346,Chlamydia,37253956.0,239.1
2014,California,176308,Chlamydia,37253956.0,239.1
2015,California,189170,Chlamydia,37253956.0,239.1
2016,California,198155,Chlamydia,37253956.0,239.1
2017,California,218785,Chlamydia,37253956.0,239.1
2018,California,231415,Chlamydia,37253956.0,239.1
2019,California,236719,Chlamydia,37253956.0,239.1
2020,California,178679,Chlamydia,39538223.0,253.7
2021,California,191542,Chlamydia,39538223.0,253.7
2022,California,192647,Chlamydia,39538223.0,253.7
2023,California,191357,Chlamydia,39538223.0,253.7
2000,Colorado,12000,Chlamydia,4301261.0,41.5
2001,Colorado,13239,Chlamydia,4301261.0,41.5
2002,Colorado,14028,Chlamydia,4301261.0,41.5
2003,Colorado,13039,Chlamydia,4301261.0,41.5
2004,Colorado,14151,Chlamydia,4301261.0,41.5
2005,Colorado,15432,Chlamydia,4301261.0,41.5
2006,Colorado,16313,Chlamydia,4301261.0,41.5
2007,Colorado,17186,Chlamydia,4301261.0,41.5
2008,Colorado,19180,Chlamydia,4301261.0,41.5
2009,Colorado,19998,Chlamydia,4301261.0,41.5
2010,Colorado,19447,Chlamydia,5029196.0,48.5
2011,Colorado,21811,Chlamydia,5029196.0,48.5
2012,Colorado,21631,Chlamydia,5029196.0,48.5
2013,Colorado,20386,Chlamydia,5029196.0,48.5
2014,Colorado,21863,Chlamydia,5029196.0,48.5
2015,Colorado,23857,Chlamydia,5029196.0,48.5
2016,Colorado,25569,Chlamydia,5029196.0,48.5
2017,Colorado,26995,Chlamydia,5029196.0,48.5
2018,Colorado,29124,Chlamydia,5029196.0,48.5
2019,Colorado,29821,Chlamydia,5029196.0,48.5
2020,Colorado,26137,Chlamydia,5773714.0,55.7
2021,Colorado,26747,Chlamydia,5773714.0,55.7
2022,Colorado,26646,Chlamydia,5773714.0,55.7
2023,Colorado,25571,Chlamydia,5773714.0,55.7
2000,Connecticut,7604,Chlamydia,3405565.0,703.3
2001,Connecticut,7718,Chlamydia,3405565.0,703.3
2002,Connecticut,9808,Chlamydia,3405565.0,703.3
2003,Connecticut,9393,Chlamydia,3405565.0,703.3
2004,Connecticut,9552,Chlamydia,3405565.0,703.3
2005,Connecticut,11039,Chlamydia,3405565.0,703.3
2006,Connecticut,10946,Chlamydia,3405565.0,703.3
2007,Connecticut,11454,Chlamydia,3405565.0,703.3
2008,Connecticut,12519,Chlamydia,3405565.0,703.3
2009,Connecticut,12127,Chlamydia,3405565.0,703.3
2010,Connecticut,12649,Chlamydia,3574097.0,738.1
2011,Connecticut,13649,Chlamydia,3574097.0,738.1
2012,Connecticut,13065,Chlamydia,3574097.0,738.1
2013,Connecticut,12775,Chlamydia,3574097.0,738.1
2014,Connecticut,13382,Chlamydia,3574097.0,738.1
2015,Connecticut,13126,Chlamydia,3574097.0,738.1
2016,Connecticut,13911,Chlamydia,3574097.0,738.1
2017,Connecticut,17750,Chlamydia,3574097.0,738.1
2018,Connecticut,16732,Chlamydia,3574097.0,738.1
2019,Connecticut,15290,Chlamydia,3574097.0,738.1
2020,Connecticut,12716,Chlamydia,3605944.0,744.7
2021,Connecticut,14750,Chlamydia,3605944.0,744.7
2022,Connecticut,12738,Chlamydia,3605944.0,744.7
2023,Connecticut,13197,Chlamydia,3605944.0,744.7
2000,Delaware,2856,Chlamydia,783600.0,402.1
2001,Delaware,2793,Chlamydia,783600.0,402.1
2002,Delaware,2649,Chlamydia,783600.0,402.1
2003,Delaware,3035,Chlamydia,783600.0,402.1
2004,Delaware,2954,Chlamydia,783600.0,402.1
2005,Delaware,3392,Chlamydia,783600.0,402.1
2006,Delaware,3615,Chlamydia,783600.0,402.1
2007,Delaware,3479,Chlamydia,783600.0,402.1
2008,Delaware,3868,Chlamydia,783600.0,402.1
2009,Delaware,4718,Chlamydia,783600.0,402.1
2010,Delaware,4464,Chlamydia,897934.0,460.8
2011,Delaware,4508,Chlamydia,897934.0,460.8
2012,Delaware,4438,Chlamydia,897934.0,460.8
2013,Delaware,5213,Chlamydia,897934.0,460.8
2014,Delaware,4473,Chlamydia,897934.0,460.8
2015,Delaware,4605,Chlamydia,897934.0,460.8
2016,Delaware,5365,Chlamydia,897934.0,460.8
2017,Delaware,5392,Chlamydia,897934.0,460.8
2018,Delaware,6038,Chlamydia,897934.0,460.8
2019,Delaware,5864,Chlamydia,897934.0,460.8
2020,Delaware,4855,Chlamydia,989948.0,508.0
2021,Delaware,4880,Chlamydia,989948.0,508.0
2022,Delaware,5177,Chlamydia,989948.0,508.0
2023,Delaware,5703,Chlamydia,989948.0,508.0
2000,District of Columbia,3205,Chlamydia,572059.0,9370.6
2001,District of Columbia,3286,Chlamydia,572059.0,9370.6
2002,District of Columbia,3305,Chlamydia,572059.0,9370.6
2003,District of Columbia,3168,Chlamydia,572059.0,9370.6
2004,District of Columbia,3493,Chlamydia,572059.0,9370.6
2005,District of Columbia,3678,Chlamydia,572059.0,9370.6
2006,District of Columbia,3368,Chlamydia,572059.0,9370.6
2007,District of Columbia,6029,Chlamydia,572059.0,9370.6
2008,District of Columbia,6924,Chlamydia,572059.0,9370.6
2009,District of Columbia,6549,Chlamydia,572059.0,9370.6
2010,District of Columbia,5589,Chlamydia,601723.0,9856.5
2011,District of Columbia,6585,Chlamydia,601723.0,9856.5
2012,District of Columbia,6808,Chlamydia,601723.0,9856.5
2013,District of Columbia,6414,Chlamydia,601723.0,9856.5
2014,District of Columbia,5293,Chlamydia,601723.0,9856.5
2015,District of Columbia,7894,Chlamydia,601723.0,9856.5
2016,District of Columbia,7283,Chlamydia,601723.0,9856.5
2017,District of Columbia,9107,Chlamydia,601723.0,9856.5
2018,District of Columbia,9014,Chlamydia,601723.0,9856.5
2019,District of Columbia,9327,Chlamydia,601723.0,9856.5
2020,District of Columbia,6413,Chlamydia,689545.0,11280.0
2021,District of Columbia,6952,Chlamydia,689545.0,11280.0
2022,District of Columbia,8141,Chlamydia,689545.0,11280.0
2023,District of Columbia,8338,Chlamydia,689545.0,11280.0
2000,Florida,33390,Chlamydia,15982378.0,298.0
2001,Florida,37625,Chlamydia,15982378.0,298.0
2002,Florida,42058,Chlamydia,15982378.0,298.0
2003,Florida,42382,Chlamydia,15982378.0,298.0
2004,Florida,42554,Chlamydia,15982378.0,298.0
2005,Florida,43372,Chlamydia,15982378.0,298.0
2006,Florida,48955,Chlamydia,15982378.0,298.0
2007,Florida,57575,Chlamydia,15982378.0,298.0
2008,Florida,71017,Chlamydia,15982378.0,298.0
2009,Florida,72931,Chlamydia,15982378.0,298.0
2010,Florida,74744,Chlamydia,18801310.0,350.6
2011,Florida,76033,Chlamydia,18801310.0,350.6
2012,Florida,77644,Chlamydia,18801310.0,350.6
2013,Florida,80182,Chlamydia,18801310.0,350.6
2014,Florida,84194,Chlamydia,18801310.0,350.6
2015,Florida,90468,Chlamydia,18801310.0,350.6
2016,Florida,94742,Chlamydia,18801310.0,350.6
2017,Florida,100018,Chlamydia,18801310.0,350.6
2018,Florida,104758,Chlamydia,18801310.0,350.6
2019,Florida,110794,Chlamydia,18801310.0,350.6
2020,Florida,100030,Chlamydia,21538187.0,401.4
2021,Florida,104400,Chlamydia,21538187.0,401.4
2022,Florida,106873,Chlamydia,21538187.0,401.4
2023,Florida,112804,Chlamydia,21538187.0,401.4
2000,Georgia,29359,Chlamydia,8186453.0,142.3
2001,Georgia,33840,Chlamydia,8186453.0,142.3
2002,Georgia,33998,Chlamydia,8186453.0,142.3
2003,Georgia,35686,Chlamydia,8186453.0,142.3
2004,Georgia,34280,Chlamydia,8186453.0,142.3
2005,Georgia,33562,Chlamydia,8186453.0,142.3
2006,Georgia,38972,Chlamydia,8186453.0,142.3
2007,Georgia,42913,Chlamydia,8186453.0,142.3
2008,Georgia,42629,Chlamydia,8186453.0,142.3
2009,Georgia,39828,Chlamydia,8186453.0,142.3
2010,Georgia,45147,Chlamydia,9687653.0,168.4
2011,Georgia,54403,Chlamydia,9687653.0,168.4
2012,Georgia,52418,Chlamydia,9687653.0,168.4
2013,Georgia,51070,Chlamydia,9687653.0,168.4
2014,Georgia,51945,Chlamydia,9687653.0,168.4
2015,Georgia,57639,Chlamydia,9687653.0,168.4
2016,Georgia,62776,Chlamydia,9687653.0,168.4
2017,Georgia,65104,Chlamydia,9687653.0,168.4
2018,Georgia,65936,Chlamydia,9687653.0,168.4
2019,Georgia,67720,Chlamydia,9687653.0,168.4
2020,Georgia,62582,Chlamydia,10711908.0,185.6
2021,Georgia,67941,Chlamydia,10711908.0,185.6
2022,Georgia,72662,Chlamydia,10711908.0,185.6
2023,Georgia,71294,Chlamydia,10711908.0,185.6
2000,Hawaii,3547,Chlamydia,1211537.0,188.6
2001,Hawaii,4031,Chlamydia,1211537.0,188.6
2002,Hawaii,4521,Chlamydia,1211537.0,188.6
2003,Hawaii,5480,Chlamydia,1211537.0,188.6
2004,Hawaii,5307,Chlamydia,1211537.0,188.6
2005,Hawaii,5489,Chlamydia,1211537.0,188.6
2006,Hawaii,5548,Chlamydia,1211537.0,188.6
2007,Hawaii,5659,Chlamydia,1211537.0,188.6
2008,Hawaii,5982,Chlamydia,1211537.0,188.6
2009,Hawaii,6026,Chlamydia,1211537.0,188.6
2010,Hawaii,6015,Chlamydia,1360301.0,211.8
2011,Hawaii,6001,Chlamydia,1360301.0,211.8
2012,Hawaii,6340,Chlamydia,1360301.0,211.8
2013,Hawaii,6640,Chlamydia,1360301.0,211.8
2014,Hawaii,6419,Chlamydia,1360301.0,211.8
2015,Hawaii,7074,Chlamydia,1360301.0,211.8
2016,Hawaii,6902,Chlamydia,1360301.0,211.8
2017,Hawaii,6850,Chlamydia,1360301.0,211.8
2018,Hawaii,7735,Chlamydia,1360301.0,211.8
2019,Hawaii,8093,Chlamydia,1360301.0,211.8
2020,Hawaii,7005,Chlamydia,1455271.0,226.6
2021,Hawaii,6078,Chlamydia,1455271.0,226.6
2022,Hawaii,5530,Chlamydia,1455271.0,226.6
2023,Hawaii,6251,Chlamydia,1455271.0,226.6
2000,Idaho,1907,Chlamydia,1293953.0,15.7
2001,Idaho,2023,Chlamydia,1293953.0,15.7
2002,Idaho,2503,Chlamydia,1293953.0,15.7
2003,Idaho,2366,Chlamydia,1293953.0,15.7
2004,Idaho,2784,Chlamydia,1293953.0,15.7
2005,Idaho,2799,Chlamydia,1293953.0,15.7
2006,Idaho,3345,Chlamydia,1293953.0,15.7
2007,Idaho,3722,Chlamydia,1293953.0,15.7
2008,Idaho,4194,Chlamydia,1293953.0,15.7
2009,Idaho,3842,Chlamydia,1293953.0,15.7
2010,Idaho,4208,Chlamydia,1567582.0,19.0
2011,Idaho,4699,Chlamydia,1567582.0,19.0
2012,Idaho,4550,Chlamydia,1567582.0,19.0
2013,Idaho,5428,Chlamydia,1567582.0,19.0
2014,Idaho,5442,Chlamydia,1567582.0,19.0
2015,Idaho,5631,Chlamydia,1567582.0,19.0
2016,Idaho,5897,Chlamydia,1567582.0,19.0
2017,Idaho,6200,Chlamydia,1567582.0,19.0
2018,Idaho,6572,Chlamydia,1567582.0,19.0
2019,Idaho,6863,Chlamydia,1567582.0,19.0
2020,Idaho,6273,Chlamydia,1839106.0,22.3
2021,Idaho,6320,Chlamydia,1839106.0,22.3
2022,Idaho,5976,Chlamydia,1839106.0,22.3
2023,Idaho,5793,Chlamydia,1839106.0,22.3
2000,Illinois,40350,Chlamydia,12419293.0,223.7
2001,Illinois,43716,Chlamydia,12419293.0,223.7
2002,Illinois,48101,Chlamydia,12419293.0,223.7
